city,type,venue,venueId,volume,year
,journal,BMC Systems Biology,7959fdab-81a2-4da4-8f2a-bd5855de5c6e,12,2018
,journal,Acta Cybernetica,396366a4-a1ba-422b-a9ff-1471ee08eab8,24,2019
,journal,EURASIP Journal on Wireless Communications and Networking,3215af4b-a40f-474d-bc19-27c154ff31a3,2018,2018
,journal,Genomics & Informatics,1de6e987-7434-4277-b939-ccb29843e936,15,2017
New York,conference,International Conference on Information and Software Technologies,d6dd0471-263c-45b1-8c75-ca4c683398e2,,2018
,journal,"ISPRS Annals of the Photogrammetry, Remote Sensing and Spatial Information Sciences",c18ca9ea-c394-46d2-b458-30dcf166dabb,N/A,2018
,journal,Journal of Medicinal Chemistry,4cce60a8-2106-4240-bece-fb6488df6bd1,60 14,2017
,journal,IEEE Transactions on Power Systems,dbbda9ef-0504-4875-b893-5c964f6b8f0e,32,2017
Catania,conference,Web Information System and Application Conference,272e9ea4-5f3f-4a33-ba63-96d72e445a96,,2017
,journal,International Journal of Computational Intelligence Systems,bc01813d-0622-430d-a5f1-416b7332b85e,10,2017
Vienna,conference,International Conference on Advanced Cloud and Big Data,313e0052-5427-47c4-8468-527a82399583,,2017
Vienna,Workshop,EDBT/ICDT Workshops,a2802f40-c210-444a-92bf-62245b599bb1,,2016
Seoul,conference,International Conference on Science in Information Technology,ef1e8736-ed1b-48f1-bf5f-477f261a4e7b,,2017
,journal,Journal of Computing and Information Science in Engineering,d029f971-f74c-41ca-8373-1b713414c797,22,2021
,journal,bioRxiv,027ffd21-ebb0-4af8-baf5-911124292fd0,N/A,2017
Barcelona,conference,International Conference on Data Technologies and Applications,dea8d7a8-c89e-4de9-bde3-0787594a055f,,2017
,journal,Proceedings of the VLDB Endowment,fcbcaf18-8ab1-43e1-a973-604bbc7e344e,9,2015
,journal,IEEE Transactions on Knowledge and Data Engineering,c6840156-ee10-4d78-8832-7f8909811576,27,2015
,journal,Distributed and parallel databases,ceac6326-95ad-4e90-a522-b7ab052ea5a4,33,2015
San Francisco,Workshop,Workshop on Graph Based Representations in Pattern Recognition,4fc0603b-2ba2-4512-94fa-ab87d02cb52a,,2015
Seoul,conference,IEEE International Conference on Fuzzy Systems,ba675c4e-f2dc-454e-9e38-d195732ed2b6,,2015
Copenhagen,conference,International Conference on Automated Software Engineering,1c2ab05c-7d69-465e-929d-0920857aedce,,2014
Rome,conference,Rice,67734a9d-6cfd-4030-8586-c60ab6936188,,2018
New York,conference,International Conference on Extending Database Technology,74f47cf8-2839-4a56-959a-524dd0ed9e3e,,2018
Tokyo,conference,International Database Engineering and Applications Symposium,640b2c9a-6fb2-4333-8780-d31aa3c411cf,,2016
,journal,Nature Computational Science,4cbc2987-6254-4668-b85b-aeabd7ff62ef,2,2022
Rome,Workshop,International Workshop on Graph Data Management Experiences and Systems,c25754e3-36a9-4adb-a390-58907c897425,,2013
