abstract,citationCount,firstAuthor,influentialCitationCount,keywords,otherAuthors,pages,paperId,reviewers,title,venue,venueId,venueType,volume,year
"Background The COVID-19 epidemic is still spreading globally. Contact tracing is a vital strategy in epidemic emergency management; however, traditional contact tracing faces many limitations in practice. The application of digital technology provides an opportunity for local governments to trace the contacts of individuals with COVID-19 more comprehensively, efficiently, and precisely. Objective Our research aimed to provide new solutions to overcome the limitations of traditional contact tracing by introducing the organizational process, technical process, and main achievements of digital contact tracing in Hainan Province. Methods A graph database algorithm, which can efficiently process complex relational networks, was applied in Hainan Province; this algorithm relies on a governmental big data platform to analyze multisource COVID-19 epidemic data and build networks of relationships among high-risk infected individuals, the general population, vehicles, and public places to identify and trace contacts. We summarized the organizational and technical process of digital contact tracing in Hainan Province based on interviews and data analyses. Results An integrated emergency management command system and a multi-agency coordination mechanism were formed during the emergency management of the COVID-19 epidemic in Hainan Province. The collection, storage, analysis, and application of multisource epidemic data were realized based on the government’s big data platform using a centralized model. The graph database algorithm is compatible with this platform and can analyze multisource and heterogeneous big data related to the epidemic. These practices were used to quickly and accurately identify and trace 10,871 contacts among hundreds of thousands of epidemic data records; 378 closest contacts and a number of public places with high risk of infection were identified. A confirmed patient was found after quarantine measures were implemented by all contacts. Conclusions During the emergency management of the COVID-19 epidemic, Hainan Province used a graph database algorithm to trace contacts in a centralized model, which can identify infected individuals and high-risk public places more quickly and accurately. This practice can provide support to government agencies to implement precise, agile, and evidence-based emergency management measures and improve the responsiveness of the public health emergency response system. Strengthening data security, improving tracing accuracy, enabling intelligent data collection, and improving data-sharing mechanisms and technologies are directions for optimizing digital contact tracing.",22,2054289955,1,"Hainan Province, Contact tracing, Hainan, Province, data","101108644, 2054838160, 1492120545, 2115905112",N/A,1cff064f815111a71a98afda7aee1867ad617901,"2117925465, 51417783, 2126581481, 1483744000, 3326762",Digital Contact Tracing Based on a Graph Database Algorithm for Emergency Management During the COVID-19 Epidemic: Case Study,JMIR mHealth and uHealth,bb899a20-6789-46e4-9ed0-c7c284028fd9,journal,9,2021
"We revisit column-oriented storage and query processing techniques in the context of contemporary graph database management systems (GDBMSs). Similar to column-oriented RDBMSs, GDBMSs support read-heavy analytical workloads that however have fundamentally different data access patterns than traditional analytical workloads. We first derive a set of desiderata for optimizing storage and query processors of GDBMS based on their access patterns. We then present the design of columnar storage, compression, and query processing techniques based on these desiderata. In addition to showing direct integration of existing techniques from columnar RDBMSs, we also propose novel ones that are optimized for GDBMSs. These include a novel list-based query processor, which avoids expensive data copies of traditional block-based processors under many-to-many joins, a new data structure we call single-indexed edge property pages and an accompanying edge ID scheme, and a new application of Jacobson's bit vector index for compressing NULL values and empty lists. We integrated our techniques into the GraphflowDB in-memory GDBMS. Through extensive experiments, we demonstrate the scalability and query performance benefits of our techniques.",22,1505708061,1,"management systems, contemporary graph, graph database, database management, revisit column-oriented","26391899, 1783781",2491-2504,f4cfc7cbad257f1688772d59f694c16189dba811,"2109512262, 1398279766, 49673164",Columnar Storage and List-based Processing for Graph Database Management Systems,Proceedings of the VLDB Endowment,fcbcaf18-8ab1-43e1-a973-604bbc7e344e,journal,14,2021
"Ontologies, and especially formal ones, have traditionally been investigated as a means to formalize an application domain so as to carry out automated reasoning on it. The union of the terminological part of an ontology and the corresponding assertional part is known as a Knowledge Graph. On the other hand, database technology has often focused on the optimal organization of data so as to boost efficiency in their storage, management and retrieval. Graph databases are a recent technology specifically focusing on element-driven data browsing rather than on batch processing. While the complementarity and connections between these technologies are patent and intuitive, little exists to bring them to full integration and cooperation. This paper aims at bridging this gap, by proposing an intermediate format that can be easily mapped onto the formal ontology on one hand, so as to allow complex reasoning, and onto the graph database on the other, so as to benefit from efficient data handling.",23,1725650,0,"application domain, Knowledge Graph, automated reasoning, Graph, Ontologies",,N/A,21042565ec941f4fa31ac5a0af85a1a84ff21f1b,"144589756, 7790877, 2145763285",Integration Strategy and Tool between Formal Ontology and Graph Database Technology,Electronics,ccd8e532-73c6-414f-bc91-271bbb2933e2,journal,N/A,2021
"Effective data interoperability and schedule analysis play a significant role in improving the management of prefabricated buildings. However, there is a lack of efficient strategies and comprehensive approaches for data interoperability and data-based automated schedule analysis. This paper intends to promote prefabricated buildings’ management by solving these two problems via developing an IFC-based framework consisting of three parts. Firstly, this framework proposed a mechanism to establish an IFC-based 4D construction management information model of prefabricated buildings. Furthermore, a non-relational database—graph database—is introduced to twin this model into a task-centered network to realize the interoperation of construction information among different participants. Finally, graph database-based strategies to update data, automatically analyze construction schedules and visualize the 4D construction management information model are described. The proposed framework is validated in a prefabricated engineering case. In this case, an IFC-based and graph database-based 4D construction management information model is established through IFC standard’s extension. The graph database-based analysis of the model automatically recognizes the engineering case’s critical path information, delay analysis information, and schedule network analysis information. It is illustrated that this framework can successfully establish a unified IFC-based information model of prefabricated buildings’ construction management to prompt effective data interoperability. In addition, the application of this IFC-based information model in graph database can automatically analyze the construction schedules to prevent possible delays in advance. In short, the significance of this paper is to innovatively propose an IFC-based and graph data-based information model to solve the difficulties of ineffective data interoperation and unautomated schedule analysis in prefabricated buildings’ construction management. This study can be the digital foundation of further IFC-based digital twin.",14,98831679,0,"information, information model, construction management, construction, model","2153317609, 2142659443, 30188257, 2108248686, 2117925465",N/A,9b3e8d202488dc29e601fc471a25a2af9002659e,"123816348, 144615268, 144554647, 2064971594",IFC-Based 4D Construction Management Information Model of Prefabricated Buildings and Its Application in Graph Database,Applied Sciences,136edf8d-0f88-4c2c-830f-461c6a9b842e,journal,N/A,2021
"As data grow both in size and in connectivity, the interest to use graph databases in the industry has been proliferating. However, there has been little research on graph database education. In response to the need to introduce college students to graph databases, this paper is the first to analyze students' errors in homework submissions of queries written in Cypher, the query language for Neo4j---the most prominent graph database. Based on 40,093 student submissions from homework assignments in an upper-level computer science database course at one university, this paper provides a quantitative analysis of students' learning when solving graph database problems. The data shows that students struggle the most to correctly use Cypher's WITH clause to define variable names before referencing in the WHERE clause and these errors persist over multiple homework problems requiring the same techniques, and we suggest a further improvement on the classification of syntactic errors.",8,153314895,0,"graph database, graph, database, data grow, database education","66327914, 2051972259, 2517099",,09f54c64b39f5f7e7570f9f4ce3e3af544401e14,"2344391699, 34629652, 145843448, 2116502347",A Quantitative Analysis of Student Solutions to Graph Database Problems,Annual Conference on Innovation and Technology in Computer Science Education,e82485bc-2195-4cf5-9f9a-012501918b2f,conference,,2021
,15,2115256817,1,,"150358651, 19262604, 2873542",,a604aa1f2a2ca1a6a0b09013e71b83d36cc0f358,"2741023, 1709661, 1739380877, 1781993",An Empirical Study on Recent Graph Database Systems,"Knowledge Science, Engineering and Management",3e22d1e0-9b11-40a4-ac7c-0ebe5825316e,conference,,2020
"The work is review in nature and focuses on basic concepts and example on Graph Database with a special focus on list of standard computerized tools available for handling the queries using graph database structure. The implementation benefits of each tool and a comparative analysis on various functionalities has been presented in this work. This work also elaborates on popular Graph Databases tool that includes Allegro Graph, ArangoDB, OrientDB, Infinite Graph ,Neo4j, Titan, FlockDB, Bitsy, StarDog, MongoDB and investigate their acceptance for solving day to day problems.",14,152781515,1,"Graph Database, database structure, basic concepts, special focus, standard computerized","46501582, 105003008, 152125305",,33e332837e91c1048c3ed165cd16bf7607c3bf06,"1483744000, 3240937, 2204964, 113272803, 9207924",Issues and Concepts of Graph Database and a Comparative Analysis on list of Graph Database tools,International Conference on Computational Collective Intelligence,66c268f7-ba60-443f-919d-e2c297910401,conference,,2020
"Although graph databases have extensively found applications in the relationship-centered era, a time-version support is seldom provided. While current storage systems capture the most recently updated snapshot of the underlying graph, most real world graphs embed a dynamic behavior translating the fact that vertices or edges can join or leave the graph at any time instant. Regarding that, a graph database should faithfully maintain the state of every graph's element permitting the analysis and prediction of the underlying system's performance. Since physical deletions are forbidden in such a scenario, the outgrowing size of data is a crippling restriction steering the interest in this area towards the optimization of the persistent storage. However, capturing and storing the state of the graph as full snapshots adds a storage overhead traded by faster query responses. Accordingly, the choice of an appropriate storage engine should be adapted with the threshold of accepted query latencies and the available storage resources. This paper will recognize the anterior academic work in the era of temporal graph databases while highlighting the existing tradeoff between storage and computation time costs. The implementation of GDBAlive, a temporal graph database using two state-of-the-art techniques Copy+Log and Log, is provided relying on a robust column oriented data store. In order to optimize the responsiveness of temporal queries in terms of computation times, we will introduce two fetching strategies ""AsyncFS"" and ""Forced Fetch"" and prove their efficiency on a real dataset.",16,2148303656,0,"extensively found, found applications, time-version support, graph, graph databases","66913593, 3010622",N/A,0601e9e434b30320c316c76228b97c093fa98ad6,"2117925465, 2140474907, 2157513188, 7806657",GDBAlive: A Temporal Graph Database Built on Top of a Columnar Data Store,Journal of Advances in Information Technology,f4784c7b-6592-49eb-a116-7290e0398868,journal,N/A,2020
"The typhoon knowledge graph can correlate various kinds of information in the typhoon data, conduct overall and related analysis, and finally provide effective assistance for typhoon prevention and post-disaster protection. The data of typhoon landing in China from 2000 to 2015 were selected to build a typhoon knowledge graph based on Neo4j graph database platform. The typhoon knowledge graph can be used to understand the occurrence of historical typhoons and obtain the distribution of typhoon data in time and space.",13,2158490269,0,"knowledge graph, typhoon knowledge, related analysis, post-disaster protection, finally provide","2118798587, 2152209915, 1877327478, 145104321, 145843448, 2157681212, 2157843743, 47149500, 2108691840",,72afe82af4c2ca100c36eb35292e85d806527f0a,"26435742, 3032058, 2310211, 82495098, 1686294",Construction of typhoon disaster knowledge graph based on graph database Neo4j,Chinese Control and Decision Conference,2cbf9479-e1fa-4c75-81f6-7103e18156ca,conference,,2020
,162,2772109,11,,,,91d6e8ba5dd90b02fe3bd870b19da13a6167af53,"151167094, 3515169, 50841357, 152781515, 2123810691",The Property Graph Database Model,Alberto Mendelzon Workshop on Foundations of Data Management,66257d67-2035-4ff6-b62a-4099db02fcde,conference,,2018
"In modern and interconnected world, information is accumulatively stored digitally, making the process of exchanging, gathering and querying the information much easier. Continuously, it has introduced new challenges about how to ensure its consistency and reliability due to the sheer volume of data. A blockchain-based information system can provide an incorruptible record of history, enabling better auditing and data management practices. The paper describes how to combine an Exonum blockchain and a Neo4j graph database into a system that can provide a verifiable audit trail of data integrity and its modifications for information stored in a graph database.",12,2069559207,1,"interconnected world, stored digitally, accumulatively stored, information, data","1903751380, 40915325, 1904203865, 1904199594, 1500655986",,6fb020754f6de564c3a0a07bb656c0a90be1f87d,"3256994, 70209653, 2145413970, 2142659443",Incorruptible Auditing: Blockchain-Powered Graph Database Management,International Conference on Blockchain,f1ab8d75-7f15-4bb4-ad88-e834ec6ed604,conference,,2020
"In the last decades, the use of information management systems in the building data processing led to radical changes to the methods of data production, documentation and archiving. In particular, the possibilities, given by these information systems, to visualize the 3D model and to formulate queries have placed the question of the information sharing in digital format. The integration of information systems represents an efficient solution for defining smart, sustainable and resilient projects, such as conservation and restoration processes, giving the possibilities to combine heterogeneous data. GIS provides a robust data storage system, a definition of topological and semantic relationships and spatial queries. 3D GIS makes possible the creation of three-dimensional model in a geospatial context. To promote the interoperability of GIS data, the present research aims first to analyse methods of conversion in CityGML and IndoorGML model, defining an ontological domain. This has led to the creation of a new enriched model, based on connections among the different elements of the urban model in GIS environment, and to the possibility to formulate queries based on these relations. The second step consists in collecting all data translated into a specific format that fill a graph database in a semantic web environment, while maintaining those relationships. The semantic web technology represents an efficient tool of interoperability that leaves open the possibility to import BIM data in the same graph database and to join both GIS and BIM models. The outcome will offer substantial benefits during the entire project life cycle. This methodology can also be applied to cultural heritage where the information management plays a key role.",19,2116718,0,"information systems, information, GIS, data, information management","51386512, 2126581481, 2005442184, 2126602785, 2123810691",53 - 66,ee6f23590783adec7cf6b2030c6a46f3117a708e,"30188257, 101108644, 2057038192, 2150609388, 1906960",A semantic graph database for the interoperability of 3D GIS data,Applied Geomatics,41c3b19b-0bac-418a-89dc-2fa894c12fef,journal,14,2020
"Over decades, relational database management systems (RDBMSs) have been the first choice to manage data. Recently, due to the variety properties of big data, graph database management systems (GDBMSs) have emerged as an important complement to RDBMSs. As pointed out in the existing literature, both RDBMSs and GDBMSs are capable of managing graph data and relational data; however, the boundaries of them still remain unclear. For this reason, in this paper, we first extend a unified benchmark for RDBMSs and GDBMSs over the same datasets using the same query workload under the same metrics. We then conduct extensive experiments to evaluate them and make the following findings: (1) RDBMSs outperform GDMBSs by a substantial margin under the workloads which mainly consist of group by, sort, and aggregation operations, and their combinations; (2) GDMBSs show their superiority under the workloads that mainly consist of multi-table join, pattern match, path identification, and their combinations.",37,3425847,5,"management systems, database management, manage data, RDBMSs, data","151167094, 2116679709, 51255623, 144589756",309 - 322,b067177b1e17287185eb3b82ccc3d7c646b3ec40,"2123810691, 9207924, 34629652, 2893252, 144521155",Which Category Is Better: Benchmarking Relational and Graph Database Management Systems,Data Science and Engineering,7e0547d5-ec21-470f-bdc9-b7615fc83a29,journal,4,2019
"In this paper, we propose GraphSE\textsuperscript2, an encrypted graph database for online social network services to address massive data breaches. GraphSE\textsuperscript2 ~preserves the functionality of social search, a key enabler for quality social network services, where social search queries are conducted on a large-scale social graph and meanwhile perform set and computational operations on user-generated contents. To enable efficient privacy-preserving social search, GraphSE\textsuperscript2 ~provides an encrypted structural data model to facilitate parallel and encrypted graph data access. It is also designed to decompose complex social search queries into atomic operations and realise them via interchangeable protocols in a fast and scalable manner. We build GraphSE\textsuperscript2 ~with various queries supported in the Facebook graph search engine and implement a full-fledged prototype. Extensive evaluations on Azure Cloud demonstrate that GraphSE\textsuperscript2 ~is practical for querying a social graph with a million of users.",35,3372924,2,"network services, social search, address massive, social, social network","3032058, 2044382, 1416519437, 46398863, 2729382",,7904b3446775ed8c79f4f94001a16b706989c462,"113398129, 1783781, 1906960, 1754091",GraphSE²: An Encrypted Graph Database for Privacy-Preserving Social Search,ACM Asia Conference on Computer and Communications Security,87fc9c3c-cc7f-42aa-ba71-2700729a6788,conference,,2019
"RedisGraph is a Redis module developed by Redis Labs to add graph database functionality to the Redis database. RedisGraph represents connected data as adjacency matrices. By representing the data as sparse matrices and employing the power of GraphBLAS (a highly optimized library for sparse matrix operations), RedisGraph delivers a fast and efficient way to store, manage and process graphs. Initial benchmarks indicate that RedisGraph is significantly faster than comparable graph databases.",28,115694632,3,"Redis Labs, Redis module, Redis, module developed, Redis database","2069668457, 74882299, 3257323, 113272803, 114367405, 2310211",,cde39ce861e4c7514ee07fd91b6b8aac50cbf01b,"2117925465, 2051972259, 51471694, 2059572334",RedisGraph GraphBLAS Enabled Graph Database,"IEEE International Symposium on Parallel & Distributed Processing, Workshops and Phd Forum",7ddefda0-174f-499a-9dce-855879dd01b7,conference,,2019
"
 Despite the increasing interest in graph databases their requirements and specifications are not yet fully understood by everyone, leading to a great deal of variation in the supported functionalities and the achieved performances. In this work, we provide a comprehensive study of the existing graph database systems. We introduce a novel microbenchmarking framework that provides insights on their performance that go beyond what macro-benchmarks can offer. The framework includes the largest set of queries and operators so far considered. The graph database systems are evaluated on synthetic and real data, from different domains, and at scales much larger than any previous work. The framework is materialized as an open-source suite and is easily extended to new datasets, systems, and queries
 1
 .
",53,2574504,4,"increasing interest, fully understood, great deal, supported functionalities, graph database","3415440, 2163752",390-403,f295157f37cfb43cd8d8d2690ea124edc5ea59c2,"2053320598, 89129886, 47149500, 82495098",Beyond Macrobenchmarks: Microbenchmark-based Graph Database Evaluation,Proceedings of the VLDB Endowment,fcbcaf18-8ab1-43e1-a973-604bbc7e344e,journal,12,2018
"The integration of oilfield multidisciplinary ontology is increasingly important for the growth of the Semantic Web. However, current methods encounter performance bottlenecks either in storing data and searching for information when processing large amounts of data. To overcome these challenges, we propose a domain-ontology process based on the Neo4j graph database. In this paper, we focus on data storage and information retrieval of oilfield ontology. We have designed mapping rules from ontology files to regulate the Neo4j database, which can greatly reduce the required storage space. A two-tier index architecture, including object and triad indexing, is used to keep loading times low and match with different patterns for accurate retrieval. Therefore, we propose a retrieval method based on this architecture. Based on our evaluation, the retrieval method can save 13.04% of the storage space and improve retrieval efficiency by more than 30 times compared with the methods of relational databases.",44,51417783,1,"Semantic Web, increasingly important, Web, Semantic, oilfield multidisciplinary","2115736466, 2510306, 2108756985, 145510499, 51917504",N/A,4cd033a56b19f87f6adfefeef5fcc990306ecf40,"35207399, 2153317609, 2171106811, 143911374",Neo4j graph database realizes efficient storage performance of oilfield ontology,PLoS ONE,0aed7a40-85f3-4c66-9e1b-c1556c57001b,journal,13,2018
,14,2094667365,1,,"2840539, 1388632905",,834cdfca7cc041a6fa0db3da5493c6754bea845b,"2510306, 150358651, 2144151933",A Graph Database-Based Approach to Analyze Network Log Files,International Conference on Network and System Security,71826259-dbc2-44dc-9ffa-abf8abd1514e,conference,,2019
"BackgroundSeveral online databases provide a large amount of biomedical data of different biological entities. These resources are typically stored in systems implementing their own data model, user interface and query language. On the other hand, in many bioinformatics scenarios there is often the need to use more than one resource. The availability of a single bioinformatics platform that integrates many biological resources and services is, for those reasons a fundamental issue.DescriptionHere, we present BioGraph, a web application that allows to query, visualize and analyze biological data belonging to several online available sources. BioGraph is built upon our previously developed graph database called BioGraphDB, that integrates and stores heterogeneous biological resources and make them available by means of a common structure and a unique query language. BioGraph implements state-of-the-art technologies and provides pre-compiled bioinformatics scenarios, as well as the possibility to perform custom queries and obtaining an interactive and dynamic visualization of results.ConclusionWe present a case study about functional analysis of microRNA in breast cancer in order to demonstrate the functionalities of the system. BioGraph is freely available at http://biograph.pa.icar.cnr.it. Source files are available on GitHub at https://github.com/IcarPA-TBlab/BioGraph",29,2053475163,1,"large amount, biomedical data, BackgroundSeveral online, biological entities, query language","1726596, 48270780, 145345939, 1706102",N/A,1b0aa15937fdf59103a5213bccf09cff83d0ee3e,"2424392, 144300761, 152781515",BioGraph: a web application and a graph database for querying and analyzing bioinformatics resources,BMC Systems Biology,7959fdab-81a2-4da4-8f2a-bd5855de5c6e,journal,12,2018
